timestamp,ip,user_agent,path,method,input
2025-03-16 07:33:15,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 07:34:15,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 07:34:33,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:00:40,43.135.182.43,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",/,GET,
2025-03-16 08:03:12,54.245.207.179,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",apple-touch-icon.png,GET,
2025-03-16 08:03:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:06:34,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:08:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:10:12,72.14.201.177,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",article/detail/248,GET,
2025-03-16 08:11:04,51.222.253.1,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/113,GET,
2025-03-16 08:12:34,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:12:52,60.69.229.131,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",article/detail/248,GET,
2025-03-16 08:15:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:15:19,1.75.82.142,"Mozilla/5.0 (iPad; CPU OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",article/detail/101,GET,
2025-03-16 08:16:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:17:34,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:18:06,51.8.102.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot",article/detail/249,GET,
2025-03-16 08:18:53,118.241.18.10,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",apple-touch-icon.png,GET,
2025-03-16 08:19:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:21:17,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:22:19,157.1.136.4,Mozilla/5.0 (compatible; Cotoyogi/4.0; +https://ds.rois.ac.jp/center8/crawler/),product/detail/513,GET,
2025-03-16 08:23:45,193.186.4.177,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",article/detail/129,GET,
2025-03-16 08:24:59,94.102.56.8,cf,/,GET,
2025-03-16 08:28:27,66.249.79.195,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",company/detail/2/product/detail/228,GET,
2025-03-16 08:31:18,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:32:02,94.102.56.8,cf,/,GET,
2025-03-16 08:35:35,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:36:35,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:37:35,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:37:37,20.98.141.44,Mozilla/5.0 zgrab/0.x,/,GET,
2025-03-16 08:39:18,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:41:35,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:43:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:43:43,47.82.10.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43",company/detail/53/product/detail/139,GET,
2025-03-16 08:45:26,198.235.24.33,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com",/,GET,
2025-03-16 08:49:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:51:19,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 08:53:55,216.244.66.231,Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com),company/detail/2/product/detail/237,GET,
2025-03-16 08:54:52,40.77.167.23,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",product/detail/623,GET,
2025-03-16 08:55:59,66.249.79.205,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/651,GET,
2025-03-16 08:56:21,193.186.4.171,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",article/detail/367,GET,
2025-03-16 09:00:47,51.222.253.19,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/22/product/detail/285,GET,
2025-03-16 09:03:19,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 09:04:26,51.222.253.19,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),product/detail/808,GET,
2025-03-16 09:04:36,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-16 09:05:07,66.249.79.206,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/282,GET,
2025-03-16 09:08:24,66.249.79.206,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/770,GET,
